Animal_ID,Image,WL,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,Notes
test_ID,test.png,11.175,0.875,1.26,1.415,1.51,1.84,1.915,1.865,1.845,1.82,1.73,1.555,1.345,1.085,0.985,0.84,0.655,0.525,0.785,2.265,
