rep_class,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85
Adult,0.877,0.727,0.82,0.936,0.862,0.874,0.9,0.923,0.953,1,1.081,1.191,1.318,1.475,1.593,1.801,2.043
Juvenile,0.957,0.786,0.896,0.975,0.965,0.952,0.973,0.931,0.942,0.996,1.06,1.154,1.226,1.392,1.782,2.111,2.676
