Animal_ID,rep_class,Image,WL,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,Notes
test_juv,juvenile,test_j.png,11.175,0.875,1.26,1.415,1.51,1.84,1.915,1.865,1.845,1.82,1.73,1.555,1.345,1.085,0.985,0.84,0.655,0.525,0.785,2.265,
test-ad,adult,test_a.jpg,13.69,1.16,1.66,1.905,2.045,2.27,2.395,2.47,2.445,2.47,2.38,2.19,2.035,1.795,1.45,1.095,0.715,0.47,0.28,1.935,
